squeezing_db,pZ_proxy,loss_base,pE_data,pE_anc,distance,trials,success_prob_within_cap,erasure_rate,avg_rounds_given_success,avg_fidelity_injected_given_success,avg_fidelity_logical_given_success,p_phys_eff
11.0,0.0012767841863026304,0.005,0.005038303525589078,0.007557455288383618,1.0,5000.0,0.9856,0.0144,1.1761363636363635,0.7952395795296051,0.7748232421584139,0.0013830352558907892
11.0,0.0012767841863026304,0.005,0.005038303525589078,0.007557455288383618,3.0,5000.0,0.9842,0.0158,1.1847185531396058,0.7952395795296051,0.7924159280915531,0.0013830352558907892
11.0,0.0012767841863026304,0.005,0.005038303525589078,0.007557455288383618,5.0,5000.0,0.9844,0.0156,1.1867127184071515,0.7952395795296051,0.7948490585806879,0.0013830352558907892
11.0,0.0012767841863026304,0.005,0.005038303525589078,0.007557455288383618,7.0,5000.0,0.9854,0.0146,1.1857113862390907,0.7952395795296051,0.7951855691055532,0.0013830352558907892
11.5,0.0010718054491988432,0.005,0.005032154163475965,0.007548231245213947,1.0,5000.0,0.9874,0.0126,1.1964755924650599,0.79517455226706,0.775670279249937,0.001321541634759653
11.5,0.0010718054491988432,0.005,0.005032154163475965,0.007548231245213947,3.0,5000.0,0.9884,0.0116,1.1851477134763253,0.79517455226706,0.7925969813822754,0.001321541634759653
11.5,0.0010718054491988432,0.005,0.005032154163475965,0.007548231245213947,5.0,5000.0,0.9856,0.0144,1.1801948051948052,0.79517455226706,0.7948339155429814,0.001321541634759653
11.5,0.0010718054491988432,0.005,0.005032154163475965,0.007548231245213947,7.0,5000.0,0.9824,0.0176,1.191571661237785,0.79517455226706,0.7951295357057403,0.001321541634759653
12.0,0.000899734609228663,0.005,0.00502699203827686,0.007540488057415289,1.0,5000.0,0.9848,0.0152,1.1803411860276198,0.795119944044294,0.776381002429125,0.0012699203827685988
12.0,0.000899734609228663,0.005,0.00502699203827686,0.007540488057415289,3.0,5000.0,0.9812,0.0188,1.185283326538932,0.795119944044294,0.7927402476534325,0.0012699203827685988
12.0,0.000899734609228663,0.005,0.00502699203827686,0.007540488057415289,5.0,5000.0,0.9828,0.0172,1.178876678876679,0.795119944044294,0.7948177415491385,0.0012699203827685988
12.0,0.000899734609228663,0.005,0.00502699203827686,0.007540488057415289,7.0,5000.0,0.9848,0.0152,1.1862307067424858,0.795119944044294,0.7950815667334618,0.0012699203827685988
12.5,0.0007552885345460398,0.005,0.005022658656036382,0.007533987984054572,1.0,5000.0,0.988,0.012,1.1779352226720647,0.7950740882501054,0.7769773927021462,0.001226586560363812
12.5,0.0007552885345460398,0.005,0.005022658656036382,0.007533987984054572,3.0,5000.0,0.9856,0.0144,1.1812094155844155,0.7950740882501054,0.7928543718954932,0.001226586560363812
12.5,0.0007552885345460398,0.005,0.005022658656036382,0.007533987984054572,5.0,5000.0,0.9846,0.0154,1.1740808450132034,0.7950740882501054,0.7948018208252667,0.001226586560363812
12.5,0.0007552885345460398,0.005,0.005022658656036382,0.007533987984054572,7.0,5000.0,0.9864,0.0136,1.1891727493917275,0.7950740882501054,0.7950406922936921,0.001226586560363812
13.0,0.0006340322630311592,0.005,0.005019020967890935,0.007528531451836402,1.0,5000.0,0.987,0.013,1.1892603850050658,0.7950355840368378,0.777477873649672,0.0011902096789093478
13.0,0.0006340322630311592,0.005,0.005019020967890935,0.007528531451836402,3.0,5000.0,0.9826,0.0174,1.1780989212293913,0.7950355840368378,0.7929458483526088,0.0011902096789093478
13.0,0.0006340322630311592,0.005,0.005019020967890935,0.007528531451836402,5.0,5000.0,0.9856,0.0144,1.1864853896103895,0.7950355840368379,0.7947868616730648,0.0011902096789093478
13.0,0.0006340322630311592,0.005,0.005019020967890935,0.007528531451836402,7.0,5000.0,0.9874,0.0126,1.1845250151914117,0.7950355840368379,0.7950059808603654,0.0011902096789093478
13.5,0.0005322428345956954,0.005,0.005015967285037871,0.007523950927556806,1.0,5000.0,0.9864,0.0136,1.1794403892944039,0.7950032541852269,0.777897890952628,0.0011596728503787087
13.5,0.0005322428345956954,0.005,0.005015967285037871,0.007523950927556806,3.0,5000.0,0.9878,0.0122,1.1688600931362625,0.7950032541852269,0.7930195916515556,0.0011596728503787087
13.5,0.0005322428345956954,0.005,0.005015967285037871,0.007523950927556806,5.0,5000.0,0.9872,0.0128,1.1861831442463533,0.7950032541852269,0.7947732142267654,0.0011596728503787087
